file	section	name	seconds	outcome
profile-ci-build-34903415756.html	summary	Total Build Time	200.070	
profile-ci-build-34903415756.html	summary	Startup	5.729	
profile-ci-build-34903415756.html	summary	Settings and buildSrc	0.692	
profile-ci-build-34903415756.html	summary	Loading Projects	0.588	
profile-ci-build-34903415756.html	summary	Configuring Projects	10.871	
profile-ci-build-34903415756.html	summary	Artifact Transforms	0.754	
profile-ci-build-34903415756.html	summary	Task Execution	361.810	
profile-ci-build-34903415756.html	configuration	:server	6.069	
profile-ci-build-34903415756.html	configuration	:client	2.046	
profile-ci-build-34903415756.html	configuration	:	0.899	
profile-ci-build-34903415756.html	configuration	:dev:sample-android	0.709	
profile-ci-build-34903415756.html	configuration	:shared	0.307	
profile-ci-build-34903415756.html	configuration	:dev:server-jvm-keycloak	0.282	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin	0.246	
profile-ci-build-34903415756.html	configuration	:core	0.100	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-jvm	0.079	
profile-ci-build-34903415756.html	configuration	:dev:client-android	0.046	
profile-ci-build-34903415756.html	configuration	:dev:retrace	0.045	
profile-ci-build-34903415756.html	configuration	:dev:sample-kotlin-native	0.039	
profile-ci-build-34903415756.html	configuration	:dev	0.004	
profile-ci-build-34903415756.html	configuration	:dev:server-jvm-keycloak:runtimeClasspath	0.027	
profile-ci-build-34903415756.html	configuration	:shared:iosArm64CompileKlibraries	0.026	
profile-ci-build-34903415756.html	configuration	:dev:server-jvm-keycloak:testCompileClasspath	0.022	
profile-ci-build-34903415756.html	configuration	:core:jvmCompileClasspath	0.021	
profile-ci-build-34903415756.html	configuration	:client:jvmTestCompileClasspath	0.017	
profile-ci-build-34903415756.html	configuration	:dev:sample-android:debugUnitTestCompileClasspath	0.016	
profile-ci-build-34903415756.html	configuration	:server:jvmCompileClasspath	0.015	
profile-ci-build-34903415756.html	configuration	:shared:iosSimulatorArm64CompileKlibraries	0.012	
profile-ci-build-34903415756.html	configuration	:shared:jvmCompileClasspath	0.012	
profile-ci-build-34903415756.html	configuration	:client:jvmTestRuntimeClasspath	0.011	
profile-ci-build-34903415756.html	configuration	:core:nativeCompileKlibraries	0.011	
profile-ci-build-34903415756.html	configuration	:detachedConfiguration1	0.011	
profile-ci-build-34903415756.html	configuration	:server:kspCommonMainKotlinMetadataProcessorClasspath	0.011	
profile-ci-build-34903415756.html	configuration	:server:nativeCompileKlibraries	0.010	
profile-ci-build-34903415756.html	configuration	:shared:iosX64CompileKlibraries	0.010	
profile-ci-build-34903415756.html	configuration	:shared:macosArm64CompileKlibraries	0.010	
profile-ci-build-34903415756.html	configuration	:shared:linuxArm64CompileKlibraries	0.009	
profile-ci-build-34903415756.html	configuration	:shared:macosX64CompileKlibraries	0.009	
profile-ci-build-34903415756.html	configuration	:client:androidLintTool	0.007	
profile-ci-build-34903415756.html	configuration	:client:commonMainResolvableDependenciesMetadata	0.007	
profile-ci-build-34903415756.html	configuration	:client:ktlint	0.007	
profile-ci-build-34903415756.html	configuration	:shared:linuxX64CompileKlibraries	0.007	
profile-ci-build-34903415756.html	configuration	:shared:mingwX64CompileKlibraries	0.007	
profile-ci-build-34903415756.html	configuration	:shared:wasmJsCompileClasspath	0.007	
profile-ci-build-34903415756.html	configuration	:client:iosArm64CompileKlibraries	0.006	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:runtimeClasspath	0.006	
profile-ci-build-34903415756.html	configuration	:server:commonMainResolvableDependenciesMetadata	0.006	
profile-ci-build-34903415756.html	configuration	:client:iosSimulatorArm64CompileKlibraries	0.005	
profile-ci-build-34903415756.html	configuration	:client:iosX64CompileKlibraries	0.005	
profile-ci-build-34903415756.html	configuration	:client:macosX64CompileKlibraries	0.005	
profile-ci-build-34903415756.html	configuration	:core:commonMainResolvableDependenciesMetadata	0.005	
profile-ci-build-34903415756.html	configuration	:dev:server-jvm-keycloak:testRuntimeClasspath	0.005	
